,Area,AudienceCount,AvgPeople,AvgPrice,BoxOffice,Genre_Main,MovieID,MovieName,ReleaseTime,ShowCount,defaultImage,typeid
0,中国,15942,38,36,567888,动作,641515,战狼2,2017-07-27,4157684,http://www.cbooo.cn/moviepic/229733.jpg,1
1,中国香港/中国,9282,33,39,364757,动作,655823,红海行动,2018-02-16,2810963,http://www.cbooo.cn/moviepic/240425.jpg,2
2,中国,8763,39,39,339666,喜剧,663419,唐人街探案2,2018-02-16,2272537,http://www.cbooo.cn/moviepic/234873.jpg,1
3,中国/中国香港,9243,44,37,339211,喜剧,626153,美人鱼,2016-02-08,2120024,http://www.cbooo.cn/moviepic/209007.jpg,2
4,美国,7287,30,37,267096,动作,659757,速度与激情8,2017-04-14,2424781,http://www.cbooo.cn/moviepic/224149.jpg,5
5,中国香港/中国,6563,42,37,244002,奇幻,627896,捉妖记,2015-07-16,1576103,http://www.cbooo.cn/moviepic/211794.jpg,2
6,美国/日本,6244,42,39,242659,动作,629625,速度与激情7,2015-04-12,1479623,http://www.cbooo.cn/moviepic/196613.jpg,5
7,美国,6238,19,38,238644,动作,675789,复仇者联盟3：无限战争,2018-05-11,3210496,http://www.cbooo.cn/moviepic/217497.jpg,5
8,中国香港/中国,5837,44,38,223666,喜剧,656875,捉妖记2,2018-02-16,1320211,http://www.cbooo.cn/moviepic/237182.jpg,1
9,中国,6587,25,33,220175,喜剧,661004,羞羞的铁拳,2017-09-30,2605581,http://www.cbooo.cn/moviepic/246526.jpg,1
10,美国/中国,4741,50,42,197752,科幻,612232,变形金刚4：绝迹重生,2014-06-27,957201,http://www.cbooo.cn/moviepic/157905.jpg,5
11,中国,5534,29,35,194051,喜剧,663359,前任3：再见前任,2017-12-29,1935732,http://www.cbooo.cn/moviepic/230788.jpg,1
12,印度/中国,4590,33,38,175260,喜剧,629898,功夫瑜伽,2017-01-28,1377220,http://www.cbooo.cn/moviepic/217896.jpg,2
13,中国香港/中国,4647,40,36,168274,动作,614981,寻龙诀,2015-12-18,1155795,http://www.cbooo.cn/moviepic/196282.jpg,2
14,中国香港/中国,4229,36,39,165593,奇幻,619719,西游伏妖篇,2017-01-28,1172881,http://www.cbooo.cn/moviepic/208325.jpg,2
15,中国,4912,40,33,161410,喜剧,618038,港囧,2015-09-25,1223801,http://www.cbooo.cn/moviepic/208076.jpg,1
16,美国,4199,23,37,155124,动作,656946,变形金刚5：最后的骑士,2017-06-23,1842490,http://www.cbooo.cn/moviepic/211901.jpg,5
17,美国,4548,29,34,153035,动画,643235,疯狂动物城,2016-03-04,1580752,http://www.cbooo.cn/moviepic/205222.jpg,5
18,美国,4239,21,36,152208,动作,667168,侏罗纪世界2,2018-06-15,2000280,http://www.cbooo.cn/moviepic/225759.jpg,5
19,美国,3971,25,37,147230,动作,402117,魔兽,2016-06-08,1590151,http://www.cbooo.cn/moviepic/89952.jpg,5
0,美国,3659,29,40,146439,科幻,631792,复仇者联盟2：奥创纪元,2015-05-12,1283067,http://www.cbooo.cn/moviepic/173060.jpg,5
